id,rest_name,address,kakao_url,star,star_num,image,distance
138,할매순대국,서울특별시 노원구 공릉동 499-54번지 ,https://place.map.kakao.com/11624735,4.4,7,//t1.daumcdn.net/place/9F63803A26D84DAFBC1552EBE6FE234F,18
139,히딩크의추억,서울특별시 노원구 공릉동 513-1번지 ,https://place.map.kakao.com/1764230447,4.9,13,//t1.kakaocdn.net/fiy_reboot/place/F9EC915EEECE4B66B072C8A35C2E1E60,19
140,용경이네식당,서울특별시 노원구 공릉동 610-19,https://place.map.kakao.com/1979302139,0,0,,30
141,한끼의품격,서울특별시 노원구 공릉동 598-23,https://place.map.kakao.com/1194383606,0,0,,27
142,우애돈카츠 2호점,서울특별시 노원구 공릉동 598-23,https://place.map.kakao.com/911907418,4.3,8,//t1.daumcdn.net/place/4DBB8F67E5674CA78CEDD167FAFE55FE,27
143,고성전통잔치국수,서울특별시 노원구 공릉동 683-1,https://place.map.kakao.com/20740507,4,1,//t1.daumcdn.net/place/6CCFA1F2148241A0B49950B99E8A35F3,30
144,등이,서울특별시 노원구 공릉동 576-19번지 하이서울빌딩 ,https://place.map.kakao.com/16081476,0,0,,24
145,일상식당,서울특별시 노원구 공릉동 395-13 정일빌딩,https://place.map.kakao.com/1675570285,0,0,,14
146,헬로우키친,서울특별시 노원구 공릉동 395-13 정일빌딩 ,https://place.map.kakao.com/115360806,0,0,,14
147,칠형제우리감자탕,서울특별시 노원구 공릉동 576-18번지 1층 ,https://place.map.kakao.com/12370792,3.8,10,//t1.daumcdn.net/place/44C7C61D427346B195D94A9AE27A5DE8,24
148,진생갈비 김치찌개,서울특별시 노원구 공릉동 395-3 막국수,https://place.map.kakao.com/1250003996,0,0,,15
149,일번지 국수,서울특별시 노원구 공릉동 683-12,https://place.map.kakao.com/22874182,1,1,//t1.daumcdn.net/localfiy/BF33207DDAF84FDF9AD56C142106BAF7,31
150,화덕생선구이,서울특별시 노원구 공릉동 683-12,https://place.map.kakao.com/1657286099,0,0,,31
151,늘새찬,서울특별시 노원구 공릉동 517-30,https://place.map.kakao.com/1226156123,0,0,,19
